Round,Year,President,Awardee,Project Name,Applicant Name,State,City,GrantAmount,Funding Request,Project Cost,Project Type,Density
TIGER I,2009,Obama,No,City of Ocoee local street network,"City of Ocoee, Florida",Florida,Ocoee,#N/A,"$19,800,000","$65,000,000",Road,N/A
TIGER I,2009,Obama,No,City of Palm Beach Gardens Bridge Refurbshing Project,City of Palm Beach Gardens,Florida,West Palm Beach,#N/A,"$3,400,000","$3,400,000",Road,N/A
TIGER I,2009,Obama,No,City of Punta Gorda Downtown Infrastructure Protection Seawall Replacement Project,City of Punta Gorda,Florida,Punta Gorda,#N/A,"$13,500,000","$13,500,000",Other,N/A
TIGER I,2009,Obama,No,City of Punta Gorda Herald Court Security Project,City of Punta Gorda,Florida,Punta Gorda,#N/A,"$168,500","$168,500",Other,N/A
TIGER I,2009,Obama,No,City of Punta Gorda Ring Around The City Bicycle,City of Punta Gorda,Florida,Punta Gorda,#N/A,"$18,857,500","$19,688,500",Other,N/A
TIGER I,2009,Obama,No,City of Punta Gorda Transportation Infrastructure Protection Seawall Replacement Project,City of Punta Gorda,Florida,Punta Gorda,#N/A,"$96,250,000","$98,927,319",Other,N/A
TIGER I,2009,Obama,No,City of Punta Gorda Urban Collector Resurfacing and Restructuring Project,City of Punta Gorda,Florida,Punta Gorda,#N/A,"$18,900,000","$19,486,074",Road,N/A
TIGER I,2009,Obama,No,"City of South Bay Island Road, Transportation Capital, and Bus/Shuttle Route","South Bay, FL",Florida,South Bay,#N/A,"$8,586,213","$3,218,881",Road,N/A
TIGER I,2009,Obama,No,City of Tampa Program,City of Tampa,Florida,Tampa,#N/A,"$18,900,000","$18,900,000",Other,N/A
TIGER I,2009,Obama,No,Commercial & Transportation dredging and Eco Island Creation,"City of Pahokee, FL",Florida,Pahokee,#N/A,"$16,000,000","$16,000,000",Other,N/A
TIGER I,2009,Obama,No,Construction of a Two-Lane Overpass Crossing SR500,City of Apopka,Florida,Apopka,#N/A,"$20,000,000","$20,000,000",Road,N/A
TIGER I,2009,Obama,No,Construction of Two Specialized Offshore Wind,Northeast Florida Regional Council Application,Florida,Jacksonville,#N/A,"$96,000,000","$160,000,000",Other,N/A
TIGER I,2009,Obama,No,"County Road 74 from SR 29 in Glades County to US 17 in Charlotte County, FL",Glades County Florida,Florida,Moore Haven,#N/A,"$44,500,000","$44,500,000",Road,N/A
TIGER I,2009,Obama,No,County Road Paving and Resurfacing,Clay County Public Works Department,Florida,Green Cove Springs,#N/A,"$20,000,000","$28,063,000",Road,N/A
TIGER I,2009,Obama,No,CR 951/US 41 SPUI,Collier County Board of County Commissioners,Florida,Naples,#N/A,"$38,959,075","$56,670,075",Road,N/A
TIGER I,2009,Obama,No,Critical Community Bridge Project,"City of Treasure Island, Florida",Florida,Saint Petersburg,#N/A,"$3,900,000","$3,900,000",Other,N/A
TIGER I,2009,Obama,No,Deltona Boulevard (Cr 589) Roadway Improvements,Hernando County Metropolitan Planning Organization,Florida,Brooksville,#N/A,"$16,474,398","$16,474,398",Road,N/A
TIGER I,2009,Obama,No,Dixie County Road and Bridge Improvements,Dixie County Board of County Commissioners,Florida,Lake City,#N/A,"$18,950,000","$18,950,000",Road,N/A
TIGER I,2009,Obama,No,Downtown Viaduct Widening and Re-Decking Project,Tampa Hillsborough County Expressway Authority,Florida,Tampa,#N/A,"$61,410,067","$135,000,000",Road,N/A
TIGER I,2009,Obama,No,EAST-WEST BUS RAPID TRANSIT,Hillsborough Transit Authority,Florida,Tampa,#N/A,"$19,877,474","$32,268,474",Transit,N/A
TIGER I,2009,Obama,No,Electrification of the Florida Transit Market,City of Tallahassee,Florida,Atlanta,#N/A,"$59,951,248","$102,318,800",Transit,N/A
TIGER I,2009,Obama,No,"Eller Driver Overpass at Port Everglades, FL",Florida Department of Transportation,Florida,Fort Lauderdale,#N/A,"$55,422,354","$71,115,336",Road,N/A
TIGER I,2009,Obama,No,Englewood Interstate Connector (EIC),Sarasota County Board of County Commissioners,Florida,Sarasota,#N/A,"$96,700,000","$172,500,000",Road,N/A
TIGER I,2009,Obama,No,Escambia County Bridge Replacement Program (103),"Escambia County, FL",Florida,Pensacola,#N/A,"$95,920,000","$96,120,000",Road,N/A
TIGER I,2009,Obama,No,FLORIDA STATE ROAD 87 SOUTH HOLLEY,Sarasota County Board of County Commissioners,Florida,Milton,#N/A,"$30,178,424","$30,178,424",Road,N/A
TIGER I,2009,Obama,No,Gadsden County Bridge Construction Project,Gadsden County Board of County Commissioners,Florida,Quincy,#N/A,"$753,330","$753,328",Other,N/A
TIGER I,2009,Obama,No,Gateway Corridor Improvement Program,"Osceola County, Florida",Florida,Kissimmee,#N/A,"$23,680,700","$29,380,700",Road,N/A
TIGER I,2009,Obama,No,Hand Avenue Collector Road Upgrade,City of Ormond Beach,Florida,Ormond Beach,#N/A,"$4,748,392","$5,682,404",Road,N/A
TIGER I,2009,Obama,No,Harbor Walk,Charlotte Harbor Community Redevelopment Agency,Florida,Port Charlotte,#N/A,"$5,944,315","$6,691,829",Bicycle and Pedestrian,N/A
TIGER I,2009,Obama,No,HENDRY COUNTY U.S. 27/ S.R. 25/80 INTERSECTION PROJECT,Hendry County Board of County Commissioners,Florida,Labelle,#N/A,"$33,040,000","$39,650,514",Road,N/A
TIGER I,2009,Obama,No,HTPT-ATMS Project,"Broward County, Florida",Florida,Pompano Beach,#N/A,"$54,290,000","$76,536,000",Transit,N/A
TIGER I,2009,Obama,No,"I-395 Reconstruction and SR 836 Improvements Highway project in urban area within Miami-Dade County, Florida",Miami Dade Expressway Authority,Florida,Miami,#N/A,"$50,000,000","$50,000,000",Road,N/A
TIGER I,2009,Obama,No,I-75 Capacity Improvements in Lee County,Lee County Metropolitan Planning Organization,Florida,Fort Myers,#N/A,"$70,733,977","$76,146,561",Road,N/A
TIGER I,2009,Obama,No,I. Safe walk to School Sidewalks; II. Walkable Communities; III. Community redevelopment Areas,"Escambia County, FL",Florida,Pensacola,#N/A,"$13,900,000","$13,900,000",Other,N/A
TIGER I,2009,Obama,No,I10 Beulah Interchange and Phase 1 Beltway Corridor,"Escambia County, FL",Florida,Pensacola,#N/A,"$2,000,000","$93,000,000",Road,N/A
TIGER I,2009,Obama,No,International Drive Systems Upgrade,Orange County Public Works Department,Florida,Orlando,#N/A,"$20,000,000","$20,000,000",Road,N/A
TIGER I,2009,Obama,No,Interstate 95 /SR 421 Interchange Reconstruction Highway Project,City of Port Orange,Florida,Port Orange,#N/A,"$41,900,080","$41,900,080",Road,N/A
TIGER I,2009,Obama,No,Jacksonville Regional Transportation Center (JRTC),Jacksonville Transportation Authority,Florida,Jacksonville,#N/A,"$65,760,000","$78,440,000",Passenger Rail,N/A
TIGER I,2009,Obama,No,JAXPORT Bulkhead Modernization,Jacksonville Port Authority (JAXPORT),Florida,Jacksonville,#N/A,"$71,901,726","$79,890,809",Maritime,N/A
TIGER I,2009,Obama,No,John F. Kennedy Causeway (SR 934) Redevelopment Project,City of North Bay Village,Florida,Miami Beach,#N/A,"$8,000,000","$9,998,254",Road,N/A
TIGER I,2009,Obama,No,John Young Parkway Extension,City of Orlando,Florida,Orlando,#N/A,"$81,350,000","$81,350,000",Road,N/A
TIGER I,2009,Obama,No,Livable Economic Opportunities,"City of Delray Beach, Florida",Florida,Delray Beach,#N/A,"$8,235,000","$14,735,000",Road,N/A
TIGER I,2009,Obama,No,Miami Greenway NetworkCity,City of Miami Beach,Florida,Miami,#N/A,"$48,567,000","$48,567,000",Transit,N/A
TIGER I,2009,Obama,No,"Miami Intermodal Center (MIC) Program, MIC Central Station, an intermodal transportation passenger hub",Florida Department of Transportation,Florida,Miami,#N/A,"$96,500,000","$114,400,000",Other,N/A
TIGER I,2009,Obama,No,Miami Internation Airport Air-Cargo And Freight Access Project Phase II,Miami-Dade Aviation Department,Florida,Miami,#N/A,"$106,240,340","$106,240,340",Transit,N/A
TIGER I,2009,Obama,No,Minneola Interchange,Lake-Sumter Metropolitan Planning Organization,Florida,Leesburg,#N/A,"$30,000,000","$30,000,000",Road,N/A
TIGER I,2009,Obama,No,Monroe County Bridge Repair and Rehabilitation Project,Monroe County,Florida,Key West,#N/A,"$8,451,840","$10,564,800",Road,N/A
TIGER I,2009,Obama,No,Multimodal Capacity Improvements along FL SR 85 Corridor at Eglin Air Force Base,Okaloosa County Board of County Commissioners,Florida,Fort Walton Beach,#N/A,"$298,175,000","$419,975,000",Road,N/A
TIGER I,2009,Obama,No,Municipal Circulatory Transit Program,Town of Cutler Bay,Florida,Miami,#N/A,"$2,159,495","$2,159,495",Transit,N/A
TIGER I,2009,Obama,No,NE Florida Rural Center Transportation Connectivity Initiative,Putnam County Board of County Commissioners,Florida,East Palatka,#N/A,"$39,593,204","$39,593,204",Road,N/A
TIGER I,2009,Obama,No,New Tri-Rail Locomotives,South Florida Regional Transportation Authority,Florida,Pompano Beach,#N/A,"$20,000,000","$27,000,000",Transit,N/A
TIGER I,2009,Obama,No,New Tri-Rail Passenger Stations,South Florida Regional Transportation Authority,Florida,Pompano Beach,#N/A,"$43,940,000","$43,940,000",Transit,N/A
TIGER I,2009,Obama,No,Nine Mile Road,"Escambia County, FL",Florida,Pensacola,#N/A,"$27,000,000","$27,000,000",Road,N/A
TIGER I,2009,Obama,No,North Cargo Complex Intermodal Cargo Yard,Canaveral Port Authority,Florida,Cape Canaveral,#N/A,"$15,600,000","$19,500,000",Maritime,N/A
TIGER I,2009,Obama,No,North International Airport Boulevard Project,Jacksonville Aviation Authority,Florida,Jacksonville,#N/A,"$46,000,000","$46,000,000",Road,N/A
TIGER I,2009,Obama,No,Ocean Avenue Bascule Bridge in Lantana Over Intracoastal Waterway,PALM BEACH COUNTY,Florida,West Palm Beach,#N/A,"$35,140,445","$35,140,445",Road,N/A
TIGER I,2009,Obama,No,"Off-Grid, Natural Gas Fueled Electric Vehicle Charging Solution",Florida Energy and Climate Commission,Florida,Tallahassee,#N/A,"$4,100,000","$4,100,000",Other,N/A
TIGER I,2009,Obama,No,Old Kings Road 4 Laning Phase 2,City of Palm Coast,Florida,Palm Coast,#N/A,"$30,000,000","$40,000,000",Road,N/A
TIGER I,2009,Obama,No,Orange Avenue Midtown Neighborhood Roadway Improvement and Storm-Water Mitigation Project,City of Daytona Beach,Florida,Deland,#N/A,"$19,922,244","$19,922,244",Road,N/A
TIGER I,2009,Obama,No,Orange County Pedestrian Bridge,Orange County Public Works Department,Florida,Orlando,#N/A,"$20,000,000","$20,000,000",Other,N/A
TIGER I,2009,Obama,No,PAGES DAIRY ROAD VITALIZATION PROJECT,Nassau County Board of County Commissioners,Florida,Yulee,#N/A,"$39,000,000","$39,000,000",Road,N/A
TIGER I,2009,Obama,No,Panama City Beach Multi-modal Infrastructure Program,Panama City Port Authority,Florida,Panama City Beach,#N/A,"$71,640,000","$71,640,000",Transit,N/A
TIGER I,2009,Obama,No,PERRY RAIL EXTENSION PROJECT,"Taylor County, Florida",Florida,Perry,#N/A,"$49,869,120","$63,414,120",Rail,N/A
TIGER I,2009,Obama,No,Pinellas Bayway Bridge Replacement,Florida Department of Transportation,Florida,Tampa,#N/A,"$27,600,000","$67,000,000",Road,N/A
TIGER I,2009,Obama,No,POINCIANA PARKWAY,"Osceola County, Florida",Florida,Kissimmee,#N/A,"$55,000,000","$166,316,132",Road,N/A
TIGER I,2009,Obama,No,Pollard Road Extension,Winter Haven,Florida,Winter Haven,#N/A,"$17,000,000","$17,000,000",Road,N/A
TIGER I,2009,Obama,No,Port Manatee Marine Highway Intermodal Container Terminal Development Project,Manatee County Port Authority,Florida,Palmetto,#N/A,"$36,115,000","$71,443,000",Maritime,N/A
TIGER I,2009,Obama,No,Port of Miami Tunnel Project,Miami-Dade County,Florida,Miami,#N/A,"$5,000,000","$610,000,000",Road,N/A
TIGER I,2009,Obama,No,"Port of Port St. Joe, Florida",Port St. Joe Port Authority,Florida,Port Saint Joe,#N/A,"$39,136,000","$57,536,000",Maritime,N/A
TIGER I,2009,Obama,No,"PUBLIC TRANSIT INVESTMENT FOR ECONOMIC RECOVERY IN METROPOLITAN MIAMI-DADE COUNTY, FLORIDA",Miami-Dade Transit,Florida,Miami,#N/A,"$23,178,000","$23,178,000",Transit,N/A
TIGER I,2009,Obama,No,Quincy Bypass,City of Quincy and the Quincy Community Redevelopment Agency,Florida,Quincy,#N/A,"$24,000,000","$24,000,000",Road,N/A
TIGER I,2009,Obama,No,Regional Intermodal Transportation Headquarters,Polk County Board of County Commissioners,Florida,Bartow,#N/A,"$132,095,000","$132,095,000",Other,N/A
TIGER I,2009,Obama,No,Resurfacing/Reconstruction Road Improvement Program - Road Reconstruction Needs,"Escambia County, FL",Florida,Pensacola,#N/A,"$75,995,687","$27,900,001",Road,N/A
TIGER I,2009,Obama,No,Richard E. Knight Pier Replacement,Tampa Port Authority,Florida,Tampa,#N/A,"$20,000,000","$25,000,000",Maritime,N/A
TIGER I,2009,Obama,No,Seminole Gulf Rail Corridor Improvements,Lee County Metropolitan Planning Organization,Florida,Fort Myers,#N/A,"$48,300,000","$50,100,000",Rail,N/A
TIGER I,2009,Obama,No,Southwest Florida Intermodal and Logistics Center,Charlotte County Board of County Commissioners,Florida,Port Charlotte,#N/A,"$36,493,179","$42,563,750",Rail,N/A
TIGER I,2009,Obama,No,Southwest Florida International Airport Collector/Distributor System,Florida Department of Transportation,Florida,Bartow,#N/A,"$98,695,987","$147,795,987",Road,N/A
TIGER I,2009,Obama,No,SR 415 from SR 46 to Reed Ellis Road Highway Widening & Bridge Replacement Project,The Volusia County Metropolitan Planning Organization,Florida,Daytona Beach,#N/A,"$69,385,199","$84,658,329",Road,N/A
TIGER I,2009,Obama,No,SR/CR 544 WIDENING,Haines City Public Works,Florida,Haines City,#N/A,"$52,891,000","$61,171,630",Road,N/A
TIGER I,2009,Obama,No,"State Road 84 Expansion $20,000,000",Collier County Board of County Commissioners,Florida,Naples,#N/A,"$20,000,000","$20,000,000",Road,N/A
TIGER I,2009,Obama,No,"State Road 84 Expansion $28,880,251",Collier County Board of County Commissioners,Florida,Naples,#N/A,"$28,880,251","$28,880,251",Road,N/A
TIGER I,2009,Obama,No,SW 62nd Blvd Connector Project,City of Gainesville,Florida,Gainesville,#N/A,"$52,300,000","$52,300,000",Road,N/A
TIGER I,2009,Obama,No,Tallahassee-Leon County Alternative Transportation Enhancement Plan,Leon County,Florida,Tallahassee,#N/A,"$44,000,000","$282,000,000",Transit,N/A
TIGER I,2009,Obama,No,Tamarac Main Street Overpass and Park n' Ride Project - Phase I,"City of Tamarac, Florida",Florida,Fort Lauderdale,#N/A,"$1,465,000","$3,172,000",Transit,N/A
TIGER I,2009,Obama,No,The Sand Lake Road (SR 482) roadway widening project,Orange County Public Works Department,Florida,Orlando,#N/A,"$71,300,000","$71,300,000",Road,N/A
TIGER I,2009,Obama,No,The Smart Link System,South Florida Regional Transportation Authority,Florida,Pompano Beach,#N/A,"$29,785,398","$43,485,398",Transit,N/A
TIGER I,2009,Obama,No,Town of Golden Beach - Center Island and Navona Avenue Bridge(s) Replacement,Town of Golden Beach,Florida,North Miami Beach,#N/A,"$8,400,000","$10,000,000",Road,N/A
TIGER I,2009,Obama,No,Tri-Rail Jupiter Extension,South Florida Regional Transportation Authority,Florida,Pompano Beach,#N/A,"$249,953,000","$347,953,000",Transit,N/A
TIGER I,2009,Obama,No,Urban Roadway Improvements,City of Pompano Beach,Florida,Pompano Beach,#N/A,"$17,755,000","$8,550,000",Road,N/A
TIGER I,2009,Obama,No,US 1 Corridor Improvements Highway Project,City of South Daytona,Florida,Daytona Beach,#N/A,"$47,750,000","$47,750,000",Road,N/A
TIGER I,2009,Obama,No,US Highway 319 State Road 369 Crawfordville Highway Construction,"Wakulla County, Florida",Florida,Crawfordville,#N/A,"$4,603,815","$4,603,815",Road,N/A
TIGER I,2009,Obama,No,Vehicles for Downtown Transit Circulator Project (DTC),City of Fort Lauderdale,Florida,Fort Lauderdale,#N/A,"$20,000,000","$124,300,000",Transit,N/A
TIGER I,2009,Obama,No,Veterans Memorial Bridge Replacement,"Volusia County, Florida",Florida,Deland,#N/A,"$43,000,000","$43,825,000",Road,N/A
TIGER I,2009,Obama,No,Widening of Midway Road (CR 712) Between South 25th Street (CR 615) and the Florida Turnpike Bridge,"St. Lucie County Board of County Commissioners, St. Lucie County, Florida",Florida,Fort Pierce,#N/A,"$30,564,536","$43,064,536",Road,N/A
TIGER II,2010,Obama,Yes,Parramore Bus Rapid Transit,The City of Orlando,Florida,Orlando,"$10,000,000.00","$70,156,877","$106,112,377",Road,Urban
TIGER II,2010,Obama,Yes,Port of Miami Rail Access,Miami-Dade County,Florida,Miami,"$22,767,000.00","$28,049,328","$46,907,800",Maritime,Urban
TIGER II,2010,Obama,No,2010 Transportation Safety Enhancement Project,City of Gretna,Florida,Gretna,#N/A,"$2,702,909","$2,702,909",Road,N/A
TIGER II,2010,Obama,No,Advanced Bus Transit System,Miami-Dade Expressway Authority,Florida,Miami,#N/A,"$3,000,000","$3,600,000",Planning,N/A
TIGER II,2010,Obama,No,Alachua County Town and Gown Energy Reduction Initiative,Alachua County,Florida,Gainesville,#N/A,"$2,400,000","$3,000,000",Planning,N/A
TIGER II,2010,Obama,No,American Disabilities Act County-Wide Infrastructure Retrofit,Collier County Board of County Commissioners,Florida,Naples,#N/A,"$12,000,000","$98,700,000",Bicycle and Pedestrian,N/A
TIGER II,2010,Obama,No,Avalon Road (CR545) - Two (2) to Four (4) lane capacity improvements project from 1500 feet west of Tilden Road to 2000 feet north of Marsh Road / Stoneybrook Parkway (approx. 1.5 miles).,City of Winter Garden,Florida,Winter Garden,#N/A,"$10,125,000","$13,500,000",Road,N/A
TIGER II,2010,Obama,No,Baker County Bus Motor Pool Facility,"Baker County Council on Aging, Inc.",Florida,Macclenny,#N/A,"$1,000,000","$1,750,000",Transit,N/A
TIGER II,2010,Obama,No,Bayshore Gateway Triangle CRA Cultural District Master Plan,Collier County Board of County Commissioners,Florida,Naples,#N/A,"$160,000","$200,000",Planning,N/A
TIGER II,2010,Obama,No,Bayshore Gateway Triangle CRA Redevelopment Plan Update,Collier County Board of County Commissioners,Florida,Naples,#N/A,"$240,000","$300,000",Planning,N/A
TIGER II,2010,Obama,No,Beulah Beltway % Interchange,"Escambia County, FL",Florida,Pensacola,#N/A,"$29,150,000","$29,150,000",Planning,N/A
TIGER II,2010,Obama,No,Blount Island Cargo Handling System,Jacksonville Port Authority (JAXPORT),Florida,Jacksonville,#N/A,"$9,600,000","$12,000,000",Maritime,N/A
TIGER II,2010,Obama,No,Bridge Refurbishment Project,City of Palm Beach Gardens,Florida,West Palm Beach,#N/A,"$2,720,000","$3,400,000",Road,N/A
TIGER II,2010,Obama,No,Bristol 2010 Road Paving,City of Bristol,Florida,Bristol,#N/A,"$726,365","$726,365",Road,N/A
TIGER II,2010,Obama,No,Broad Causeway Intracoastal Bridge,Town of Bay Harbor Islands,Florida,Miami,#N/A,"$10,000,000","$10,000,000",Road,N/A
TIGER II,2010,Obama,No,Bruce B. Downs Improvements from Pebble Creek Drive to Pasco County Line Road,Hillsborough County,Florida,Tampa,#N/A,"$13,758,625","$26,920,000",Road,N/A
TIGER II,2010,Obama,No,Buckhorn Boulevard Roadway Improvements,Washington County Board of County Commissioners,Florida,Santa Rosa Beach,#N/A,"$4,268,000","$4,268,000",Road,N/A
TIGER II,2010,Obama,No,"Calhoun County, FL Road 69A Wideing and Resurfacing",Calhoun County Board of County Commissioners,Florida,Blountstown,#N/A,"$2,820,000","$2,820,000",Road,N/A
TIGER II,2010,Obama,No,Canaveral Mulit-User Berth and Intermodal Terminal,Canaveral Port Authority,Florida,Cape Canaveral,#N/A,"$12,000,000","$24,000,000",Maritime,N/A
TIGER II,2010,Obama,No,Charley Johns Street Improvements,City of Blountstown,Florida,Blountstown,#N/A,"$3,321,000","$3,321,000",Road,N/A
TIGER II,2010,Obama,No,City of Arcadia Master Plan & Downtown Transportation Improvement Project,City of Arcadia,Florida,Arcadia,#N/A,"$11,000,000","$11,000,000",Road,N/A
TIGER II,2010,Obama,No,City of Live Oak Tiger II Roadway Project,"City of Live Oak, Florida",Florida,Live Oak,#N/A,"$3,190,000","$3,190,000",Road,N/A
TIGER II,2010,Obama,No,City of Oak Hill Transportation Element,City of Oak Hill,Florida,Oak Hill,#N/A,"$50,000","$50,000",Planning,N/A
TIGER II,2010,Obama,No,Collier Area Transit Intermodal Transfer Station,Collier County Board of County Commissioners,Florida,Naples,#N/A,"$10,400,000","$13,000,000",Transit,N/A
TIGER II,2010,Obama,No,Collier County Business and Economic Development Master Plan,Collier County Board of County Commissioners,Florida,Naples,#N/A,"$800,000","$1,000,000",Planning,N/A
TIGER II,2010,Obama,No,Commuter Rail - Alternatives Analysis,Jacksonville Transportation Authority,Florida,Jacksonville,#N/A,"$800,000","$1,000,000",Planning,N/A
TIGER II,2010,Obama,No,CR 951/ US 41 Single Point Urban Interchange,Collier County Board of County Commissioners,Florida,Naples,#N/A,"$39,959,075","$56,670,075",Road,N/A
TIGER II,2010,Obama,No,CR146,Jefferson County,Florida,Monticello,#N/A,"$18,000,000","$28,000,000",Road,N/A
TIGER II,2010,Obama,No,Crosstown Parkway Extension,City of Port St Lucie,Florida,Port Saint Lucie,#N/A,"$50,000,000","$175,000,000",Road,N/A
TIGER II,2010,Obama,No,DeFuniak Springs Multi-Use Path,Washington County Board of County Commissioners,Florida,Santa Rosa Beach,#N/A,"$2,600,000","$2,600,000",Bicycle and Pedestrian,N/A
TIGER II,2010,Obama,No,Downtown Jacksonville Environmental Transportation and Air Quality Enhancement Program,City of Jacksonville/Jacksonville Economic Development Commission,Florida,Jacksonville,#N/A,"$1,500,000","$15,000,000",Planning,N/A
TIGER II,2010,Obama,No,Downtown Kissimmee Phase II Streetscape Project,City of Kissimmee,Florida,Kissimmee,#N/A,"$8,208,000","$10,260,000",Road,N/A
TIGER II,2010,Obama,No,Downtown Marianna Community Challenge District,City of Marianna,Florida,Marianna,#N/A,"$65,000","$65,000",Planning,N/A
TIGER II,2010,Obama,No,Downtown North Miami Multimodal Traffic Circulation Project,City of North Miami,Florida,Miami,#N/A,"$3,790,000","$5,040,000",Road,N/A
TIGER II,2010,Obama,No,Downtown Tampa Multimodal Access and Mobility Improvements,City of Tampa,Florida,Tampa,#N/A,"$29,458,000","$148,970,000",Road,N/A
TIGER II,2010,Obama,No,East Pasco Multimodal Eco-Employment Hub,Pasco County Board of County Commissioners,Florida,New Port Richey,#N/A,"$2,900,000","$3,750,000",Planning,N/A
TIGER II,2010,Obama,No,Education Corridor,City of Coconut Creek and City of Pompano Beach,Florida,Pompano Beach,#N/A,"$16,400,000","$18,800,000",Bicycle and Pedestrian,N/A
TIGER II,2010,Obama,No,Energy-Efficient Medical Business/Residential District Master Plan and Development Strategy,City of Clearwater,Florida,Clearwater,#N/A,"$300,000","$360,000",Planning,N/A
TIGER II,2010,Obama,No,Englewood Interstate Connector,Sarasota County Board of County Commissioners,Florida,Sarasota,#N/A,"$28,800,000","$36,000,000",Road,N/A
TIGER II,2010,Obama,No,Gadsden County Transportation Revitalization Project,Gadsden County Board of County Commissioners,Florida,Quincy,#N/A,"$26,542,057","$27,042,057",Road,N/A
TIGER II,2010,Obama,No,Golden Gate Estates Bridges Program,Collier County Board of County Commissioners,Florida,Naples,#N/A,"$28,800,000","$36,000,000",Road,N/A
TIGER II,2010,Obama,No,Gulf Marine Highway Intermodal Infrastructure Development. This is a joint application from Port Manatee and the Port of Brownsville and is being submitted as two preapplications due to the technical limitations of the submission system.,Manatee County Port Authority,Florida,Palmetto,"$9,000,000.00","$25,708,000","$32,135,000",Maritime,Rural
TIGER II,2010,Obama,No,Hanson Street Extension from Veronica Shoemaker Blvd to SR 82,City of Fort Myers,Florida,Fort Myers,#N/A,"$23,200,000","$29,000,000",Road,N/A
TIGER II,2010,Obama,No,High Springs Rail Rehabilitation,Florida Department of Transportation,Florida,Jacksonville,#N/A,"$1,621,111","$1,621,111",Rail,N/A
TIGER II,2010,Obama,No,Historic St. Augustine Entrance Corridor Improvements,City of St. Augustine,Florida,Saint Augustine,#N/A,"$15,000,000","$18,000,000",Bicycle and Pedestrian,N/A
TIGER II,2010,Obama,No,Interstate 4 Technology Corridor Intermodal Center,Polk County Board of County Commissioners,Florida,Bartow,#N/A,"$30,000,000","$40,000,000",Transit,N/A
TIGER II,2010,Obama,No,Jacksonville Regional Transportation Center (JRTC) - Multi-Modal Facility,Jacksonville Transportation Authority,Florida,Jacksonville,#N/A,"$56,323,076","$76,444,145",Transit,N/A
TIGER II,2010,Obama,No,"Linking Neighborhoods to Transit, Jobs and Educational Opportunities",Polk County Board of County Commissioners,Florida,Bartow,#N/A,"$400,000","$500,000",Planning,N/A
TIGER II,2010,Obama,No,Livable Economic Opportunities for a Revitalized Delray (LEOPARD),"City of Delray Beach, Florida",Florida,Delray Beach,#N/A,"$10,742,000","$17,492,000",Road,N/A
TIGER II,2010,Obama,No,Manatee Port Connector,Manatee County Board of County Commissioners,Florida,Bradenton,#N/A,"$180,576,000","$225,720,000",Road,N/A
